"id","date","longitude","latitude"
"FRA 1000","2020-11-08","-1.817","46.414"
"FRA 1000","2020-11-09","-7.59766666666667","45.3025"
"FRA 1000","2020-11-10","-10.5338333333333","42.6676666666667"
"FRA 1000","2020-11-11","-16.6828333333333","41.195"
"FRA 1000","2020-11-12","-21.5196666666667","38.5841666666667"
"FRA 1000","2020-11-13","-24.9891666666667","34.253"
"FRA 1000","2020-11-14","-27.9278333333333","28.5956666666667"
"FRA 1000","2020-11-15","-27.3093333333333","24.5558333333333"
"FRA 1000","2020-11-16","-27.9633333333333","17.981"
"FRA 1000","2020-11-17","-28.2533333333333","11.5871666666667"
"FRA 1000","2020-11-18","-28.0001666666667","5.47216666666667"
"FRA 1000","2020-11-19","-29.1481666666667","-0.141333333333333"
"FRA 1000","2020-11-20","-31.0366666666667","-5.62733333333333"
"FRA 1000","2020-11-21","-30.9723333333333","-11.592"
"FRA 1000","2020-11-22","-29.9261666666667","-17.1873333333333"
"FRA 1000","2020-11-23","-28.7816666666667","-21.4248333333333"
"FRA 1000","2020-11-24","-27.5598333333333","-25.1686666666667"
"FRA 1000","2020-11-25","-27.5136666666667","-28.3015"
"FRA 1000","2020-11-26","-27.4053333333333","-33.1576666666667"
"FRA 1000","2020-11-27","-22.2038333333333","-36.9601666666667"
"FRA 1000","2020-11-28","-12.9138333333333","-38.859"
"FRA 1000","2020-11-29","-4.35533333333333","-40.1473333333333"
"FRA 1000","2020-11-30","4.3905","-42.1441666666667"
"FRA 1000","2020-12-01","13.7258333333333","-41.4535"
"FRA 1000","2020-12-02","20.6621666666667","-41.3481666666667"
"FRA 1000","2020-12-03","29.1131666666667","-40.8956666666667"
"FRA 1000","2020-12-04","38.3238333333333","-40.3911666666667"
"FRA 1000","2020-12-05","47.6135","-41.6275"
"FRA 1000","2020-12-06","54.7255","-41.4506666666667"
"FRA 1000","2020-12-07","62.4386666666667","-42.4165"
"FRA 1000","2020-12-08","67.4445","-40.8446666666667"
"FRA 1000","2020-12-09","75.51","-40.9105"
"FRA 1000","2020-12-10","83.011","-42.312"
"FRA 1000","2020-12-11","92.403","-43.0475"
"FRA 1000","2020-12-12","102.311833333333","-42.9455"
"FRA 1000","2020-12-13","110.151833333333","-44.1418333333333"
"FRA 1000","2020-12-14","119.239333333333","-45.6696666666667"
"FRA 1000","2020-12-15","122.284166666667","-47.7431666666667"
"FRA 1000","2020-12-16","129.498166666667","-49.8785"
"FRA 1000","2020-12-17","140.090833333333","-51.9593333333333"
"FRA 1000","2020-12-18","150.321833333333","-52.8891666666667"
"FRA 1000","2020-12-19","156.477166666667","-55.5561666666667"
"FRA 1000","2020-12-20","164.191166666667","-55.8793333333333"
"FRA 1000","2020-12-21","173.137","-56.3445"
"FRA 1000","2020-12-22","-177.5035","-55.365"
"FRA 1000","2020-12-23","-168.265666666667","-54.4705"
"FRA 1000","2020-12-24","-162.138666666667","-54.4875"
"FRA 1000","2020-12-25","-154.552166666667","-54.6288333333333"
